# {"t_start": 1561570588.708221, "env_id": "Humanoid-v2"} 
r,l,t
160.322924,33,41.55425
66.032692,14,41.588354
313.300726,72,41.788249
75.471895,16,41.825711
97.443415,20,41.885718
342.869774,77,42.083195
130.098713,28,42.155109
161.286578,31,42.236329
71.1553,15,42.274216
282.1462,55,42.431424
71.011859,15,42.467883
98.466292,20,42.519959
70.727956,15,42.556651
161.724917,33,42.649727
147.770313,29,42.726835
75.905276,16,42.768239
66.51081,14,43.241775
374.362308,83,43.477913
70.867947,15,43.518333
75.916382,16,43.563474
107.336381,24,43.629251
141.4862,29,43.707699
66.298281,14,43.746261
217.352289,43,43.862963
80.683178,17,43.909017
70.95221,15,43.949825
70.766711,15,43.988282
352.550775,71,44.182609
66.103467,14,44.216992
97.538111,22,44.272885
92.050523,20,44.324253
75.65435,16,44.364091
391.555881,84,44.591557
71.172056,15,44.634582
461.580041,95,44.905322
173.763938,33,44.990834
132.027637,27,45.061834
106.31165,26,45.127974
75.878221,16,45.16541
97.925929,20,45.215088
204.738459,40,45.330301
61.339138,13,45.366709
180.931768,35,45.47454
61.40565,13,45.506941
75.891383,16,45.548469
214.038854,40,45.660629
306.220784,57,45.820842
151.076009,31,45.907735
84.582162,18,46.371389
211.310409,46,46.490765
75.67563,16,46.531185
70.860435,15,46.573698
71.160386,15,46.622171
101.439502,20,46.67927
106.335847,22,46.731835
66.137043,14,46.769921
70.93897,15,46.809362
496.987908,110,47.109298
71.041903,15,47.141788
74.823128,16,47.181913
70.940998,15,47.220669
159.8917,38,47.330492
70.247735,15,47.369618
417.31319,84,47.626062
258.035291,50,47.765153
136.202257,27,47.836376
103.418636,20,47.883502
100.682519,21,47.939976
116.406157,22,47.999636
75.558668,16,48.042165
83.848498,18,48.097148
207.727324,43,48.208995
210.473098,47,48.336326
242.150315,53,48.501721
66.190854,14,48.53443
118.681232,24,48.596733
228.309615,51,48.738693
101.978102,20,48.789874
237.793674,54,48.92949
110.421026,24,48.989547
144.384853,30,49.063013
66.441269,14,49.519096
87.268914,19,49.56381
103.840844,20,49.610155
82.875621,17,49.650284
235.801493,48,49.770367
81.932699,19,49.82027
66.257699,14,49.856872
224.9778,48,49.995735
66.021609,14,50.027292
187.499006,38,50.136959
139.839862,28,50.218919
81.015567,17,50.261048
76.016173,16,50.302113
75.869632,16,50.341801
181.73265,36,50.438632
135.84175,26,50.516089
66.286033,14,50.554571
94.11489,21,50.604326
83.788157,17,50.645852
85.349824,18,50.690967
205.577239,39,50.805444
147.86707,28,50.875919
71.2138,15,50.911433
312.434876,68,51.098456
160.38079,31,51.181074
110.284928,24,51.246018
76.627838,16,51.284623
132.254137,25,51.350509
105.689939,21,51.401984
75.637886,16,51.439367
201.298896,40,51.540272
264.568303,55,51.672381
217.388469,41,51.777397
86.971667,18,51.826247
132.441961,31,51.906621
176.377065,35,52.00449
237.713982,48,52.615531
139.521716,28,52.68763
142.595669,30,52.771497
79.184995,17,52.816729
71.316253,15,52.855626
304.460356,58,53.01188
66.447861,14,53.047088
78.951635,17,53.091304
331.459485,62,53.263211
195.332592,37,53.363708
122.999216,24,53.422736
276.456771,51,53.557501
135.821398,31,53.648198
61.476833,13,53.6825
189.46968,36,53.771726
138.109696,29,53.846119
177.160308,37,53.944959
71.194343,15,53.982359
71.036743,15,54.020354
236.840219,45,54.15121
75.766375,16,54.196403
61.444955,13,54.235183
157.154343,31,54.316258
186.886199,36,54.41323
71.18414,15,54.450322
247.062154,50,54.588871
75.525511,16,54.630332
203.880161,44,54.745267
75.728172,16,54.786821
269.947001,55,54.937532
169.761687,35,55.033185
167.82079,34,55.121366
316.290479,64,55.732466
61.458521,13,55.765065
120.508097,27,55.839755
66.229448,14,55.875574
81.798448,17,55.921551
160.662068,40,56.033942
164.79719,37,56.136253
75.576614,16,56.177118
207.565168,40,56.290267
81.999429,17,56.33416
308.850115,66,56.515431
334.435895,63,56.699817
105.586919,22,56.761662
71.022884,15,56.803744
95.373011,21,56.858744
75.634168,16,56.898588
80.457835,17,56.941516
124.113083,24,57.004997
131.974073,28,57.078813
239.596594,50,57.217242
148.259258,29,57.297805
80.185791,17,57.340506
275.519799,52,57.510337
61.504586,13,57.542727
87.877746,18,57.590497
75.881099,16,57.632142
71.156058,15,57.671725
167.285082,33,57.763031
70.991155,15,57.804383
111.49346,22,57.86156
188.801954,38,57.978786
386.392181,87,58.236979
284.805244,60,58.401382
130.226288,27,58.473859
191.948838,43,59.019938
117.988228,24,59.085281
415.898407,83,59.324662
71.109952,15,59.361703
137.206252,33,59.449487
103.039468,20,59.499531
106.073493,21,59.555483
134.421806,30,59.641709
75.675009,16,59.681889
166.833408,33,59.773082
261.950027,56,59.931925
176.461951,34,60.025686
166.149588,38,60.126484
81.317663,17,60.169776
71.025736,15,60.207037
61.630642,13,60.24064
331.245759,68,60.421114
270.323962,55,60.569517
75.612683,16,60.612569
66.12473,14,60.657387
66.12087,14,60.692637
69.934353,15,60.736326
128.502864,27,60.816582
115.131364,23,60.875374
75.733476,16,60.915701
79.051358,18,60.962348
66.203736,14,60.997747
256.695299,50,61.138636
153.450044,33,61.22514
71.078658,15,61.263429
102.80522,20,61.314533
284.629108,53,61.469096
275.833058,60,61.651339
213.102199,42,62.233541
66.246157,14,62.270713
81.579544,17,62.315298
111.363197,24,62.380659
123.918421,27,62.452244
86.08541,18,62.498174
99.756354,23,62.566175
80.262102,17,62.612734
299.967738,57,62.78797
80.655306,17,62.829751
374.072714,80,63.052931
258.536532,62,63.228265
61.451934,13,63.26256
75.855018,16,63.301406
75.606346,16,63.343048
139.994286,28,63.427164
86.117964,19,63.490001
258.678695,50,63.640202
337.841358,64,63.854759
104.546568,22,63.914685
71.233258,15,63.954545
86.878271,19,64.010989
169.576126,32,64.096933
188.524671,40,64.216216
82.901177,17,64.259384
75.832744,16,64.301825
107.96884,26,64.373209
119.233785,24,64.449145
66.212821,14,64.484393
173.256067,41,64.598743
61.378405,13,64.63449
146.95352,30,64.720271
193.666943,39,64.830523
71.157658,15,64.871407
99.176489,20,64.925654
219.682186,46,65.53827
75.60265,16,65.579643
70.981258,15,65.61683
144.084724,28,65.691444
71.043426,15,65.739019
71.091036,15,65.777284
84.344648,17,65.822623
75.599944,16,65.864994
168.133869,34,65.961143
89.683604,18,66.006879
75.691253,16,66.047673
76.021696,16,66.08833
195.250193,41,66.207692
75.731073,16,66.248837
71.057057,15,66.288161
198.493902,39,66.398607
274.54454,65,66.580895
61.387652,13,66.614743
305.831048,58,66.775831
122.070294,28,66.847831
77.521124,16,66.888096
191.648622,39,66.988656
175.655787,42,67.106343
112.746147,23,67.168512
56.791914,12,67.199653
95.761462,20,67.251233
78.138263,17,67.29803
298.278244,59,67.467208
75.871734,16,67.508377
71.16383,15,67.544924
82.652249,17,67.589437
114.793956,23,67.648682
111.956817,23,67.710415
383.906432,75,67.919462
259.443197,51,68.05675
70.951905,15,68.092346
246.982708,44,68.63889
234.736926,44,68.764177
76.014051,16,68.813663
234.47668,45,68.953128
118.162398,27,69.031253
239.30473,51,69.177541
82.412119,18,69.225505
286.346003,54,69.409423
71.07063,15,69.449938
378.386414,75,69.672866
75.796811,16,69.714413
75.645171,16,69.764088
155.256859,30,69.843496
240.696852,47,69.995187
194.352214,46,70.126355
71.055789,15,70.16419
158.399484,35,70.256448
189.869347,35,70.348701
132.427925,26,70.415193
103.663934,22,70.471216
78.784261,16,70.512192
143.287091,32,70.594616
66.434503,14,70.627012
75.748461,16,70.663845
70.960644,15,70.70312
81.906377,17,70.747518
203.929068,44,70.857676
71.255058,15,70.894456
88.391142,18,70.941235
71.023599,15,70.978596
296.214208,61,71.150944
103.762939,23,71.211717
130.242793,29,71.288177
237.746924,45,71.853396
83.503009,17,71.896852
112.116819,25,71.965942
410.80616,95,72.23632
246.40956,53,72.38253
413.12893,82,72.607151
78.731221,16,72.646478
100.781754,20,72.698472
206.569786,43,72.812603
130.294716,28,72.888367
236.339705,45,73.011451
84.192401,18,73.055541
127.717989,27,73.124315
71.206383,15,73.162508
80.457055,17,73.206957
85.362713,18,73.255995
207.924463,39,73.376966
342.115052,65,73.574411
371.15256,70,73.772777
94.781094,19,73.821695
239.957032,56,73.973942
322.340576,73,74.162739
391.206427,78,74.372351
170.777474,37,74.464808
76.936235,16,74.502349
75.708808,16,74.540969
66.47133,14,75.009892
228.668557,57,75.171365
157.488422,34,75.267812
141.012413,32,75.364599
418.205603,86,75.627921
323.552052,69,75.823197
146.359755,29,75.905426
224.373699,44,76.028841
292.699035,61,76.217139
439.086363,91,76.476065
75.620191,16,76.518382
61.542395,13,76.552599
225.793224,46,76.685366
85.317884,18,76.738043
192.613023,37,76.845824
66.294018,14,76.883254
166.227845,31,76.973965
83.749345,17,77.021079
153.206371,33,77.107694
93.108313,19,77.159209
146.582113,33,77.245084
211.694042,41,77.356234
110.741774,22,77.411596
80.281488,17,77.454837
71.119812,15,77.491187
222.739971,51,77.629515
162.103925,39,77.731629
70.954554,15,77.769016
209.784021,48,78.37079
90.623948,18,78.419737
75.600317,16,78.462731
75.787147,16,78.507684
328.840352,66,78.686561
86.412106,18,78.73018
236.768399,44,78.843175
213.518485,45,78.966061
379.808468,72,79.164662
75.517693,16,79.204045
96.613074,21,79.254309
118.222804,27,79.328292
103.206502,21,79.382684
77.457393,16,79.423538
76.638287,16,79.465607
66.37436,14,79.501029
162.682749,35,79.592614
233.758666,51,79.733793
116.773931,23,79.794062
85.369676,17,79.836113
306.987802,59,80.001248
110.231945,21,80.056055
284.50531,55,80.204004
408.151431,94,80.483585
298.445377,55,80.627589
187.243062,43,80.749775
121.558266,26,80.81986
117.060894,23,80.880603
134.303109,25,80.949363
76.817366,16,81.432283
96.474337,19,81.484367
284.727842,66,81.674778
92.84483,20,81.725571
159.564377,30,81.805092
197.857595,36,81.90135
127.538454,26,81.966887
174.799781,34,82.055727
83.270407,17,82.097737
66.066476,14,82.131434
322.260393,76,82.350601
274.913372,53,82.503722
295.347346,69,82.708153
194.344424,41,82.825265
75.808843,16,82.866565
66.243323,14,82.902356
61.390182,13,82.942509
75.777837,16,82.98273
292.563748,63,83.151209
85.272864,19,83.198514
88.540668,20,83.248941
80.783158,17,83.292076
356.600321,79,83.503662
122.300845,28,83.577365
106.831263,23,83.639233
76.766022,16,83.679801
250.930659,51,83.821555
372.15558,83,84.04634
70.977211,15,84.084395
174.931821,35,84.609469
99.84655,22,84.670911
66.212009,14,84.707767
104.741869,22,84.765443
200.792796,43,84.880223
178.348782,35,84.985926
281.542543,53,85.156911
66.412066,14,85.191684
485.254645,115,85.505471
204.678878,42,85.627649
475.995987,96,85.895263
271.119446,56,86.051629
225.473088,47,86.180028
83.240955,18,86.225958
115.800988,27,86.296117
126.208743,27,86.367353
119.725871,23,86.426315
161.244023,31,86.507915
126.180315,29,86.586753
147.163689,28,86.663622
71.147278,15,86.703105
80.464692,17,86.753272
290.629454,55,86.911189
214.267055,40,87.016658
85.764653,18,87.064369
138.468659,31,87.153372
75.859172,16,87.191809
75.812701,16,87.232024
206.645645,46,87.787613
96.82409,19,87.836247
104.339123,22,87.892881
129.913608,26,87.960111
75.597788,16,88.000949
66.146275,14,88.036894
217.819535,45,88.156489
87.112484,19,88.205358
130.953423,24,88.276254
118.719925,27,88.34848
188.266951,37,88.452825
308.557822,66,88.632123
80.422418,17,88.673782
256.702969,48,88.812412
66.126954,14,88.846324
207.191115,44,88.968691
153.811245,33,89.056158
169.775066,34,89.143053
82.144684,17,89.185857
117.095557,24,89.248588
113.275132,27,89.317783
135.38782,27,89.392725
211.937331,40,89.50235
61.390029,13,89.535992
96.911464,21,89.585506
82.013659,17,89.628598
175.292194,33,89.717561
75.67814,16,89.759089
137.661926,32,89.842068
195.446676,41,89.963829
236.556855,51,90.114417
353.296035,79,90.356703
110.023385,24,90.417985
102.450983,20,90.468975
66.402092,14,90.951535
90.345817,18,91.00042
80.362898,17,91.03998
210.634204,40,91.144155
75.694518,16,91.183591
280.716944,53,91.329857
149.498847,32,91.415201
281.684567,63,91.588095
99.469471,23,91.648458
70.948652,15,91.690003
88.636334,19,91.741895
157.429985,32,91.829059
84.972604,19,91.87883
75.754354,16,91.921517
71.020132,15,91.966394
139.159043,26,92.041587
213.953462,40,92.157748
121.339562,24,92.220459
261.30753,49,92.35249
70.748758,15,92.390403
294.932262,68,92.582004
70.953847,15,92.619606
97.700494,19,92.678911
97.83166,19,92.734967
115.560687,27,92.81784
83.358844,17,92.863514
123.107163,25,92.929172
269.660464,52,93.070688
80.475939,17,93.113453
192.080798,41,93.222575
130.722808,26,93.289236
75.972446,16,93.329036
126.244053,27,93.40004
235.43363,43,93.512365
268.561765,55,94.138201
80.726694,17,94.185748
80.795159,17,94.240149
143.979697,31,94.331307
71.021646,15,94.368083
140.880446,31,94.444958
118.32565,23,94.504127
169.678631,35,94.593826
363.154402,82,94.809536
236.093975,45,94.92587
136.271779,30,95.005159
199.398288,38,95.107563
179.128045,36,95.202569
83.827586,17,95.246504
79.640671,17,95.290034
75.932183,16,95.329922
108.503612,21,95.385408
109.592717,21,95.446943
75.754203,16,95.485116
71.058223,15,95.522132
120.562554,23,95.582505
203.131656,43,95.702332
76.179527,16,95.742867
228.966025,50,95.890516
303.745297,57,96.046479
141.36156,28,96.12202
75.966609,16,96.162635
75.696646,16,96.203465
151.12783,32,96.283708
372.716009,74,96.518322
75.678151,16,96.56791
61.278828,13,96.602776
374.247194,73,96.815418
61.405762,13,96.848504
70.965072,15,97.337735
235.693327,52,97.475393
231.961012,45,97.59778
117.136676,23,97.658244
112.124212,24,97.719229
80.254992,17,97.761575
245.287475,47,97.880943
81.862935,17,97.921579
71.163151,15,97.958874
154.813862,31,98.038578
118.04938,23,98.096999
71.059698,15,98.13471
117.404365,25,98.200991
141.171143,31,98.297107
137.987495,26,98.363659
75.672533,16,98.403263
79.365577,17,98.448868
92.501146,19,98.496389
205.219656,42,98.615525
218.983631,46,98.743879
180.199157,36,98.847773
198.996303,38,98.956884
450.491947,93,99.22264
282.40169,52,99.383221
70.524867,15,99.427602
153.019016,32,99.516275
238.732124,53,99.664116
61.374848,13,99.696384
75.38345,16,99.735821
197.628084,41,99.85461
111.740446,24,99.924874
222.348562,48,100.526148
346.030001,69,100.712769
91.574007,18,100.763148
181.925103,38,100.888057
75.616828,16,100.933977
151.964643,28,101.00753
75.733983,16,101.048993
66.37757,14,101.085529
