# {"t_start": 1562379674.2381608, "env_id": "InvertedPendulumGP-v2"} 
r,c,violation,l,t
5.0,-2.707344,0,5,7.61456
6.0,-0.793246,0,6,7.633659
9.0,-8.224679,0,9,7.66059
4.0,-2.61947,0,4,7.67278
13.0,-0.038543,0,13,7.718477
6.0,-0.414279,0,6,7.738829
7.0,-0.03673,0,7,7.763868
4.0,-1.329245,0,4,7.782907
4.0,-0.046773,0,4,7.797046
5.0,-0.22417,0,5,7.815012
6.0,-4.652826,0,6,7.833681
6.0,-4.567988,0,6,7.851386
9.0,-0.328772,0,9,7.882319
10.0,-4.56255,0,10,7.911938
5.0,-0.036851,0,5,7.929074
7.0,-6.817425,0,7,7.950395
6.0,-3.43076,0,6,7.968112
8.0,-0.129032,0,8,7.99633
5.0,-0.5502,0,5,8.013642
7.0,-0.272503,0,7,8.037446
9.0,-6.96446,0,9,8.064628
4.0,-0.012138,0,4,8.078657
7.0,-5.789871,0,7,8.100283
6.0,-4.102347,0,6,8.118083
5.0,-1.526582,0,5,8.133202
5.0,-5.228174,0,5,8.148217
10.0,-3.294221,0,10,8.177957
11.0,-0.160208,0,11,8.215586
11.0,-0.882368,0,11,8.250474
4.0,-0.11232,0,4,8.264078
5.0,-1.453522,0,5,8.279443
7.0,-0.542766,0,7,8.301692
5.0,-2.577882,0,5,8.317031
9.0,-1.387598,0,9,8.344236
7.0,-2.819816,0,7,8.365538
6.0,-3.864234,0,6,8.383233
5.0,-1.906564,0,5,8.398277
4.0,-3.234255,0,4,8.410342
6.0,-1.492582,0,6,8.428229
4.0,-0.912153,0,4,8.440364
9.0,-6.45938,0,9,8.467284
4.0,-0.655705,0,4,8.479424
5.0,-1.493277,0,5,8.494478
5.0,-1.193608,0,5,8.509516
7.0,-0.206899,0,7,8.533363
4.0,-0.897456,0,4,8.545971
10.0,-2.111359,0,10,8.575512
6.0,-4.29356,0,6,8.593906
7.0,-1.880054,0,7,8.614815
4.0,-0.010292,0,4,8.62852
5.0,-0.326369,0,5,8.645734
5.0,-3.005428,0,5,8.661523
4.0,-0.40354,0,4,8.674568
9.0,-0.093227,0,9,8.706249
11.0,-2.136527,0,11,8.740505
8.0,-0.626036,0,8,8.769133
4.0,-4.223479,0,4,8.782254
8.0,-4.423912,0,8,8.806152
6.0,-0.298621,0,6,8.826608
5.0,-0.097106,0,5,8.843991
6.0,-1.528158,0,6,8.862595
12.0,-12.97061,0,12,8.898142
12.0,-1.205227,0,12,8.937251
5.0,-0.106435,0,5,8.954234
7.0,-0.031979,0,7,8.978155
4.0,-0.910424,0,4,8.990711
8.0,-0.82795,0,8,9.015443
5.0,-0.926451,0,5,9.030535
12.0,-2.039092,0,12,9.066337
20.0,-7.108315,0,20,9.125702
4.0,-1.018567,0,4,9.137836
7.0,-0.0563,0,7,9.161633
9.0,-3.244922,0,9,9.188712
6.0,-2.921016,0,6,9.206935
7.0,-0.169682,0,7,9.230431
10.0,-2.198921,0,10,10.197398
4.0,-0.825976,0,4,10.208856
9.0,-0.123755,0,9,10.238341
4.0,-2.735062,0,4,10.250824
6.0,-1.808921,0,6,10.268699
4.0,-2.837302,0,4,10.280678
5.0,-0.96894,0,5,10.29549
5.0,-4.744407,0,5,10.310338
10.0,-1.61241,0,10,10.339782
4.0,-0.138739,0,4,10.353169
11.0,-4.20634,0,11,10.385707
5.0,-2.9307,0,5,10.400523
9.0,-1.467406,0,9,10.427024
7.0,-4.096452,0,7,10.447878
5.0,-2.305638,0,5,10.462834
9.0,-1.25921,0,9,10.48945
5.0,-2.335742,0,5,10.504303
6.0,-0.074942,0,6,10.524449
5.0,-0.023472,0,5,10.541438
9.0,-0.166538,0,9,10.572654
8.0,-0.908693,0,8,10.597466
7.0,-0.287166,0,7,10.621376
