# {"t_start": 1561570421.1046743, "env_id": "Humanoid-v2"} 
r,l,t
72.261086,15,57.188143
66.333414,14,57.249626
80.294464,18,57.325987
143.003982,30,57.45957
70.937471,15,57.523387
97.569476,21,57.614157
61.654923,13,57.669735
61.570056,13,57.72514
285.440787,61,57.999239
263.715978,48,58.213778
141.356166,29,58.342904
70.892845,15,58.40762
134.351917,28,58.529152
70.868011,15,58.592872
66.390571,14,58.652957
66.342677,14,58.712976
66.436597,14,58.773296
66.468622,14,58.833386
80.003545,18,58.909875
71.082717,15,58.973694
113.679804,25,59.082958
70.97077,15,59.146989
111.946407,25,59.681798
61.651859,13,59.738043
70.908553,15,59.8011
76.030681,16,59.867935
117.084849,24,59.973022
66.383375,14,60.031804
66.31508,14,60.091275
85.756849,18,60.168778
66.265669,14,60.227571
66.357533,14,60.286501
71.051164,15,60.350014
111.088016,22,60.443701
61.453034,13,60.500036
69.621162,15,60.563965
66.17604,14,60.624004
71.108196,15,60.688324
66.199623,14,60.748414
99.014935,20,60.835202
168.153239,34,60.981588
61.567834,13,61.036572
114.644227,24,61.141424
80.417252,17,61.21314
71.146099,15,61.277152
115.938965,26,61.388752
66.124101,14,61.448239
94.29601,21,61.537391
75.979767,16,61.605204
66.228993,14,61.666651
70.997625,15,61.730588
71.118695,15,61.793818
70.904621,15,61.853468
80.367587,17,61.914368
289.572422,66,62.184592
205.187945,37,62.332062
79.523581,18,62.401359
70.753105,15,62.459947
66.144278,14,62.513802
61.530503,13,62.565886
75.499189,16,62.633966
71.020608,15,62.700342
92.552375,21,62.792972
161.581144,32,62.917847
61.523223,13,62.969434
76.639318,16,63.037525
70.900998,15,63.099695
70.901666,15,63.162959
71.07178,15,63.225325
117.087158,23,63.325562
66.037489,14,63.38525
78.116233,17,63.45895
70.787764,15,63.521682
71.166498,15,63.584451
61.613514,13,63.638432
75.745199,16,63.705728
56.812514,12,63.756271
61.643656,13,64.239677
66.181488,14,64.306369
80.88022,18,64.380888
66.426726,14,64.442047
66.061855,14,64.501033
76.021308,16,64.569334
187.65017,37,64.731722
66.436977,14,64.792503
61.726513,13,64.847621
70.796703,15,64.917067
99.271346,21,65.010315
56.894345,12,65.061769
61.574795,13,65.117366
71.136926,15,65.1819
66.212776,14,65.241057
71.225516,15,65.305287
75.818234,16,65.372995
66.255654,14,65.433096
89.48174,20,65.520083
61.507392,13,65.575789
75.611719,16,65.644671
132.456043,29,65.7738
75.556332,16,65.841819
71.02088,15,65.905599
71.064368,15,65.969969
71.229048,15,66.03444
70.978202,15,66.09827
83.003079,18,66.174936
71.331977,15,66.239018
100.514004,21,66.332711
71.19478,15,66.397653
75.837803,16,66.465637
71.035584,15,66.529377
66.403735,14,66.588641
66.244678,14,66.649007
71.015824,15,66.713016
174.193705,32,66.858068
223.461432,55,67.104233
75.672246,16,67.172491
95.361284,19,67.255305
66.466198,14,67.315188
167.877335,34,67.465306
71.149375,15,67.53047
66.310007,14,67.589256
61.377412,13,67.644398
99.443476,20,67.731792
56.948564,12,67.783216
66.559152,14,67.842674
70.826464,15,67.906434
70.994394,15,67.969974
66.382739,14,68.030632
160.573864,30,68.161245
66.065698,14,68.221107
66.144489,14,68.281462
66.339356,14,68.341097
75.573884,16,68.409974
66.276199,14,68.470148
66.230474,14,68.530603
76.551063,16,69.041989
70.614921,15,69.097929
61.794019,13,69.145735
70.763151,15,69.207193
66.340409,14,69.267531
61.436321,13,69.324739
71.107613,15,69.389988
70.932666,15,69.454067
252.858316,49,69.675773
76.161069,16,69.744852
66.508792,14,69.804904
144.084246,27,69.922519
103.074526,21,70.012773
70.883636,15,70.076808
66.182083,14,70.136262
75.690091,16,70.205237
66.37843,14,70.265751
75.65816,16,70.333554
66.19959,14,70.393332
66.324696,14,70.453112
61.575218,13,70.508297
71.168324,15,70.573616
80.842547,17,70.648247
61.594909,13,70.704448
71.23164,15,70.769134
76.509217,16,70.83766
135.651271,28,70.960985
75.835899,16,71.030784
66.295756,14,71.090593
70.961342,15,71.154689
141.021557,31,71.287971
66.366341,14,71.348592
75.898076,16,71.41699
75.80234,16,71.485701
66.199522,14,71.546001
71.115192,15,71.610894
74.174831,16,71.681491
71.184089,15,71.746154
66.27289,14,71.810312
66.196858,14,71.870012
70.754263,15,71.934904
75.99899,16,72.002588
124.011593,26,72.119438
157.786625,31,72.255056
66.012358,14,72.314384
75.748852,16,72.387554
66.416036,14,72.448462
66.237014,14,72.509042
70.958417,15,72.573489
71.337918,15,72.638793
61.601127,13,72.7048
149.193445,28,72.813756
56.813019,12,72.859499
70.806321,15,72.914357
71.10704,15,72.969556
70.919521,15,73.024429
71.134504,15,73.078242
61.235293,13,73.128536
117.711662,25,73.227329
89.390781,19,73.688416
81.349812,17,73.757351
88.340722,18,73.832523
61.603599,13,73.885867
91.453985,20,73.971287
61.459467,13,74.026725
214.720702,41,74.207679
66.380579,14,74.265292
66.417712,14,74.324104
71.078792,15,74.3857
95.028682,20,74.470932
70.780677,15,74.532711
66.292795,14,74.596977
96.925796,21,74.688127
75.648446,16,74.758183
71.003936,15,74.822557
108.699978,22,74.91842
70.297188,15,74.982361
66.375769,14,75.041852
66.364571,14,75.101914
206.215998,41,75.283948
75.840972,16,75.352786
61.489075,13,75.408968
93.188299,20,75.494978
56.729399,12,75.546048
66.222473,14,75.606083
89.879574,20,75.693413
254.537274,57,75.949118
66.274312,14,76.006626
71.017275,15,76.069623
75.89941,16,76.135488
66.243472,14,76.198698
75.747239,16,76.271276
76.033587,16,76.33863
70.881003,15,76.400185
138.677088,29,76.523738
66.422386,14,76.58275
66.36418,14,76.640061
71.024903,15,76.702474
139.367117,28,76.829357
235.02234,48,77.041536
66.291648,14,77.099162
66.233259,14,77.164531
70.83193,15,77.230769
261.18901,50,77.441463
246.261555,49,77.652588
192.97944,45,77.846764
75.807996,16,77.914029
75.823486,16,78.431466
86.424858,19,78.515394
73.757893,16,78.586494
70.890182,15,78.650455
78.081574,17,78.723357
70.808857,15,78.791593
61.626116,13,78.846398
128.408662,28,78.971067
71.218055,15,79.035509
66.296152,14,79.095119
66.288203,14,79.155175
61.456554,13,79.211962
56.901158,12,79.263366
96.212412,21,79.356915
70.922319,15,79.422049
159.389674,30,79.558334
71.134775,15,79.621861
108.418242,22,79.717199
66.163407,14,79.776471
66.257784,14,79.834623
101.929605,21,79.923455
71.010464,15,79.986513
61.316173,13,80.04211
70.832964,15,80.109903
71.015813,15,80.179002
116.132788,25,80.278281
61.672906,13,80.331027
162.290938,31,80.456346
113.286195,23,80.54794
61.522486,13,80.598852
75.824631,16,80.661429
71.065798,15,80.718431
71.221736,15,80.777558
70.729279,15,80.836951
89.385146,20,80.918803
75.544575,16,80.990958
75.196633,16,81.058777
75.532295,16,81.126392
66.362182,14,81.187117
70.956012,15,81.250909
220.891672,43,81.444027
61.623352,13,81.499593
66.222695,14,81.56022
70.929023,15,81.624075
84.238441,17,81.69719
66.230283,14,81.758884
66.316346,14,81.824729
66.088301,14,81.889265
61.407266,13,81.94698
85.388639,19,82.029552
61.521225,13,82.087027
