# {"t_start": 1562341552.4766877, "env_id": "InvertedPendulumBL-v2"} 
r,violation,l,t
3.0,0,3,13.158419
2.0,0,2,13.161814
3.0,0,3,13.166476
13.0,0,13,13.189965
6.0,0,6,13.201735
7.0,0,7,13.21646
23.0,0,23,13.254734
6.0,0,6,13.265376
3.0,0,3,13.27225
3.0,0,3,13.278529
2.0,0,2,13.283197
6.0,0,6,13.300488
45.0,0,45,13.380091
10.0,0,10,13.403959
4.0,0,4,13.41648
3.0,0,3,13.425028
3.0,0,3,13.43243
17.0,0,17,13.461134
3.0,0,3,13.466983
7.0,0,7,13.480584
2.0,0,2,13.485477
4.0,0,4,13.493853
3.0,0,3,13.502403
3.0,0,3,13.509472
2.0,0,2,13.515631
8.0,0,8,13.533656
8.0,0,8,13.547574
6.0,0,6,13.558094
4.0,0,4,13.565409
3.0,0,3,13.572301
2.0,0,2,13.577059
4.0,0,4,13.586797
2.0,0,2,13.591421
2.0,0,2,13.595589
2.0,0,2,13.600533
3.0,0,3,13.611679
3.0,0,3,13.61911
10.0,0,10,13.636353
4.0,0,4,13.646162
3.0,0,3,13.652633
5.0,0,5,13.66242
3.0,0,3,13.669405
5.0,0,5,13.679929
3.0,0,3,13.686335
3.0,0,3,13.691875
7.0,0,7,13.703548
3.0,0,3,13.715249
2.0,0,2,13.721596
6.0,0,6,13.73703
4.0,0,4,13.744801
3.0,0,3,13.750615
17.0,0,17,13.780051
16.0,0,16,13.808678
5.0,0,5,13.821656
6.0,0,6,13.834993
3.0,0,3,13.841985
22.0,0,22,13.874605
3.0,0,3,13.880422
20.0,0,20,13.921661
3.0,0,3,13.928148
10.0,0,10,13.944724
19.0,0,19,13.982614
3.0,0,3,13.988767
6.0,0,6,13.998564
10.0,0,10,14.019531
3.0,0,3,14.027267
3.0,0,3,14.03413
2.0,0,2,14.038991
6.0,0,6,14.050508
3.0,0,3,14.05618
2.0,0,2,14.060232
5.0,0,5,14.068935
2.0,0,2,14.072987
5.0,0,5,14.081657
5.0,0,5,14.091335
6.0,0,6,14.102259
6.0,0,6,14.11594
2.0,0,2,14.12277
3.0,0,3,14.128692
3.0,0,3,14.134497
2.0,0,2,14.140525
3.0,0,3,14.148227
3.0,0,3,14.156043
12.0,0,12,14.177141
2.0,0,2,14.181027
3.0,0,3,14.186674
