# {"t_start": 1562362757.4367013, "env_id": "ReacherGP-v2"} 
r,c,violation,l,t
-4.149705,-43.739159,33,50,625.702346
-8.160935,-34.491042,26,50,627.843152
-5.313658,-42.018775,33,50,629.908692
-4.941104,-39.987507,30,50,631.77386
-7.218927,-14.62434,9,50,633.786623
-11.067367,-47.764891,40,50,635.864494
-10.474251,-42.524114,35,50,637.991824
-7.519035,-39.273201,29,50,639.805524
-8.032585,-48.520323,38,50,641.706715
-11.267149,-45.18125,35,50,643.876057
-6.220679,-42.633894,34,50,645.866698
-9.370938,-46.777379,36,50,647.713139
-6.339815,-41.485922,37,50,649.694835
-7.22916,-43.259758,33,50,651.767049
-13.490087,-56.93314,40,50,653.683134
-8.609763,-39.124252,25,50,655.559203
-7.551742,-48.895931,37,50,657.64073
-4.331968,-38.822961,29,50,659.701254
-10.84752,-47.763843,38,50,661.590237
-11.090149,-45.154333,36,50,663.468265
-10.439157,-46.554211,36,50,665.705812
-7.062459,-37.613265,29,50,667.659127
-8.307633,-26.208482,13,50,669.548933
-7.64919,-40.408235,29,50,671.625814
-7.679928,-44.003026,33,50,673.788835
-10.001183,-45.247226,33,50,675.647157
-7.151242,-39.862874,28,50,677.493006
-6.776899,-41.43763,30,50,679.474116
-9.322371,-36.245377,23,50,681.571947
-10.009273,-37.759316,34,50,683.432126
-7.809297,-37.577527,29,50,685.311837
-10.344406,-48.048589,36,50,687.51255
-9.336264,-38.837718,31,50,689.486031
-8.611243,-35.611725,29,50,691.381504
-4.122391,-42.149403,32,50,693.336504
-9.587063,-33.569409,26,50,695.507832
-7.774105,-42.684072,33,50,697.45863
-7.355572,-44.551729,33,50,699.348299
-4.509439,-36.544437,27,50,701.294663
-9.858394,-45.10572,33,50,703.355342
-6.487715,-33.466804,21,50,705.5703
-7.885175,-40.456625,28,50,707.428541
-11.084522,-48.73238,38,50,709.244931
-11.004048,-41.020851,29,50,711.35831
-10.615846,-46.994018,35,50,713.394365
-6.317694,-34.560109,27,50,715.247298
-8.493857,-42.020722,34,50,717.280379
-6.456766,-31.323268,24,50,719.40152
-9.976318,-45.839575,34,50,721.260587
-6.860878,-33.25275,25,50,723.148685
-7.963294,-46.74126,35,50,725.218773
-9.63567,-31.611872,23,50,727.299288
-6.112683,-31.324261,20,50,729.268353
-8.265426,-20.891567,8,50,731.175285
-7.244253,-43.52114,35,50,733.287372
-9.337973,-35.708339,27,50,735.356499
-9.842334,-41.96492,33,50,737.260721
-7.79277,-31.412028,20,50,739.146932
-9.413852,-43.026188,34,50,741.296261
-6.7192,-38.876596,28,50,743.345021
-8.827395,-35.242057,24,50,745.352802
-8.31381,-46.660632,36,50,747.275161
-11.877977,-42.544463,33,50,749.406203
-8.792471,-15.426239,5,50,751.447046
-9.047525,-33.774962,21,50,753.339573
-10.401142,-42.05541,33,50,755.231477
-9.054509,-33.908829,30,50,757.363715
-8.899003,-20.70646,10,50,759.368685
-6.142563,-38.061845,25,50,761.252877
-7.362999,-35.403704,22,50,763.32237
-7.623559,-30.035403,18,50,765.450576
-7.485177,-38.881409,27,50,767.315855
